sync-consumer-1  | 2025-07-23T21:31:31.186317109Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListPatientsQuery
sync-consumer-1  | 2025-07-23T21:31:31.186369282Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetPatientQuery
sync-consumer-1  | 2025-07-23T21:31:31.187377836Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListAddressesQuery
sync-consumer-1  | 2025-07-23T21:31:31.188900129Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetAddressQuery
sync-consumer-1  | 2025-07-23T21:31:31.188915009Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListClinicsQuery
sync-consumer-1  | 2025-07-23T21:31:31.188918132Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetClinicQuery
sync-consumer-1  | 2025-07-23T21:31:31.188921071Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListClinicDataQuery
sync-consumer-1  | 2025-07-23T21:31:31.188937697Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetClinicDataQuery
sync-consumer-1  | 2025-07-23T21:31:31.188940361Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListClinicPhonesQuery
sync-consumer-1  | 2025-07-23T21:31:31.188942841Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetClinicPhoneQuery
sync-consumer-1  | 2025-07-23T21:31:31.188945229Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListCoveredClinicsQuery
sync-consumer-1  | 2025-07-23T21:31:31.188947617Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetCoveredClinicQuery
sync-consumer-1  | 2025-07-23T21:31:31.188950097Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListContractsQuery
sync-consumer-1  | 2025-07-23T21:31:31.188952577Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetContractQuery
sync-consumer-1  | 2025-07-23T21:31:31.188954965Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListInstallmentsQuery
sync-consumer-1  | 2025-07-23T21:31:31.188957446Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetInstallmentQuery
sync-consumer-1  | 2025-07-23T21:31:31.188959834Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListPatientPhonesQuery
sync-consumer-1  | 2025-07-23T21:31:31.188962222Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetPatientPhoneQuery
sync-consumer-1  | 2025-07-23T21:31:31.188964702Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListUserClinicsQuery
sync-consumer-1  | 2025-07-23T21:31:31.188968192Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetUserClinicQuery
sync-consumer-1  | 2025-07-23T21:31:31.188970581Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListUsersQuery
sync-consumer-1  | 2025-07-23T21:31:31.188973061Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetUserQuery
sync-consumer-1  | 2025-07-23T21:31:31.189003372Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListPaymentMethodsQuery
sync-consumer-1  | 2025-07-23T21:31:31.189006771Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetPaymentMethodQuery
sync-consumer-1  | 2025-07-23T21:31:31.189009343Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetBillingSettingsQuery
sync-consumer-1  | 2025-07-23T21:31:31.189011731Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListBillingSettingsQuery
sync-consumer-1  | 2025-07-23T21:31:31.233293609Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetDashboardReportQuery
sync-consumer-1  | 2025-07-23T21:31:31.233625109Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetClinicSummaryQuery
sync-consumer-1  | 2025-07-23T21:31:31.233641000Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListRegistrationRequestsQuery
sync-consumer-1  | 2025-07-23T21:31:31.233644582Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetRegistrationRequestQuery
sync-consumer-1  | 2025-07-23T21:31:32.650851036Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=CreateContactScheduleCommand
sync-consumer-1  | 2025-07-23T21:31:32.651114565Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=UpdateContactScheduleCommand
sync-consumer-1  | 2025-07-23T21:31:32.651137987Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=DeleteContactScheduleCommand
sync-consumer-1  | 2025-07-23T21:31:32.651527723Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=CreateMessageCommand
sync-consumer-1  | 2025-07-23T21:31:32.651538929Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=UpdateMessageCommand
sync-consumer-1  | 2025-07-23T21:31:32.651541593Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=DeleteMessageCommand
sync-consumer-1  | 2025-07-23T21:31:32.651544073Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=AdvanceContactStepCommand
sync-consumer-1  | 2025-07-23T21:31:32.651546553Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=RecordContactSentCommand
sync-consumer-1  | 2025-07-23T21:31:32.651676251Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=SendManualNotificationCommand
sync-consumer-1  | 2025-07-23T21:31:32.654064081Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=RunAutomatedNotificationsCommand
sync-consumer-1  | 2025-07-23T21:31:32.654232082Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=BulkScheduleContactsCommand
sync-consumer-1  | 2025-07-23T21:31:32.654238512Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=SetPendingCallDoneCommand
sync-consumer-1  | 2025-07-23T21:31:32.654241267Z 2025-07-23 18:31:32 [debug    ] CommandHandler registrado      command=SendPendingLettersCommand
sync-consumer-1  | 2025-07-23T21:31:32.654243839Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=ListPendingSchedulesQuery
sync-consumer-1  | 2025-07-23T21:31:32.654246319Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=ListPendingCallsQuery
sync-consumer-1  | 2025-07-23T21:31:32.654249075Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=GetPendingCallQuery
sync-consumer-1  | 2025-07-23T21:31:32.654251463Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=ListFlowStepConfigsQuery
sync-consumer-1  | 2025-07-23T21:31:32.654253943Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=GetFlowStepConfigQuery
sync-consumer-1  | 2025-07-23T21:31:32.654256331Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=ListDueContactsQuery
sync-consumer-1  | 2025-07-23T21:31:32.654258719Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=ListMessagesQuery
sync-consumer-1  | 2025-07-23T21:31:32.654261199Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=GetMessageQuery
sync-consumer-1  | 2025-07-23T21:31:32.654263588Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=ListLettersQuery
sync-consumer-1  | 2025-07-23T21:31:32.654270109Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=GetLetterPreviewQuery
sync-consumer-1  | 2025-07-23T21:31:32.654272589Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=ListContactHistoryQuery
sync-consumer-1  | 2025-07-23T21:31:32.654275069Z 2025-07-23 18:31:32 [debug    ] QueryHandler registrado        query=GetContactHistoryQuery
sync-consumer-1  | 2025-07-23T21:31:32.654277549Z 2025-07-23 18:31:32 [debug    ] event.subscribed               event_type=ContactHistoryCreated handler_name=PublishContactHistoryToQueueHandler
sync-consumer-1  | 2025-07-23T21:31:35.105621092Z 2025-07-23 18:31:35 [debug    ] DI container já inicializado.
sync-consumer-1  | 2025-07-23T21:31:35.563374557Z 2025-07-23 18:31:35 [debug    ] CommandHandler registrado      command=SyncOldDebtsCommand
sync-consumer-1  | 2025-07-23T21:31:35.606298101Z 2025-07-23 18:31:35 [debug    ] CommandHandler registrado      command=SyncAcordoActivitiesCommand
